npaid,smiles
NPA000001,CC[C@H](C)[C@@H](CO)NC(=O)/C=C/[C@](C)([C@H]([C@@H](C)C[C@@H](CC)O)O)OC
NPA000008,CCC(=O)[C@H](C)[C@H]([C@@H](C)C(=O)CC/C(=C\CC(/C(=C/C1=CSC(=N1)C)/C)O)/C)O
NPA000012,CC[C@@H](C)C[C@@H](C)/C=C/[C@@H]1C=C[C@H]([C@H]2[C@@]13C([C@](O2)(OC3=O)C)O)O
NPA000027,CC(C)C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1)C(C)C)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C
NPA000036,CCCCCCC[C@@H](C(C)(C)C(=O)N[C@H]1CCCCN(C1=O)O)OC(=O)[C@@H](CCCCN(C=O)O)NC(=O)C2=C(OC(=N2)C3=CC=CC=C3O)C
NPA000037,CC1C(=O)N(C2(C1(C(CC(C)C(/C=C/C=C/CNC(=O)C(C)(C)C(/C(=C\C=C/C=C/C(=C(\C)/[N+](=O)[O-])/C)/C)O)O)OC)O)C(OC2=O)C)C
NPA000047,CC[C@H]([C@@H]1[C@H](C[C@@](O1)(CC)[C@H]2CC[C@@]([C@@H](O2)C)(CC)O)C)C(=O)[C@@H](C)[C@H]([C@H](C)CCC3=C(C(=C(C=C3)C)O)C(=O)O)O
NPA000053,CCC(=O)N[C@@H](C(C)C)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](NC1=O)CC3=CC=CC=C3)C(C)C)C(C)C)C(C)C)C
NPA000054,CC=C1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](CC(=O)N[C@H](C(=O)N[C@H]([C@@H](C(=O)N[C@H](CCC(=O)N1)C(=O)O)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC(=O)C)/C)CCCN=C(N)N)C(=O)O)CCCN=C(N)N)C
NPA000055,C1CC(C(=O)N(C1)O)NC(=O)CCNC(=O)C(CCCN(C=O)O)NC(=O)C(CO)NC(=O)C2COC(=N2)C3=CC=CC=C3O
NPA000058,C/C=C(/C)\C(=O)NCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(C(=O)NC(C(=O)N1)C(=O)O)O)C(C)O)C(C(C(=O)N)O)O)C(C)C)CO
NPA000074,CCCCCCC[C@@H]1CC(=O)N[C@@H](C(C)C)C(=O)N[C@H]([C@@H](O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H]([C@H](O)C(C)C)C(=O)NC(CCC(N)=O)C(=O)N(C)[C@@H]([C@H](C)CC)C(=O)N[C@H]([C@@H](O)C(N)=O)C(=O)N[C@H]([C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1
NPA000080,C/C=C(\C)/C=C(\C)/C(C(C)/C=C(\C)/C=C/C/C(=C/CC1=C(C(=O)C=C(N1)OC)C)/C)O
NPA000113,CC/C(=C/C(C)C/C=C/C(=C/C(C)C(=O)C(C)C1C(CC(O1)(C)CCO)C)/C)/C=C/C2C(C=CC(=O)O2)C
NPA000119,CC[C@H](C)[C@H]1C(=O)N(CC(=O)N2[C@@H](C[C@@]3([C@H]2N(C4=CC=CC=C43)O)O)C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N(CC(=O)N([C@H](C(=O)N([C@H](C(=O)N(C(C(=O)N[C@H](C(=O)N1C)C(C)C)O)C)[C@@H](C)C(C)O)C)C(C)(C)O)C)C)C(C)C)C)C(C)C)C)C(C)CC)C(C)C)C)C
NPA000123,CCCCCCCCCC(=O)O[C@@H]1[C@H]([C@]2(O[C@@H]([C@]([C@@]1(O2)C(=O)O)(C(=O)O)O)C(=O)O)CCCC(C(C)C/C=C/C3=CC=CC=C3)OC(=O)C)O
NPA000126,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCCCNC(=O)/C=C\[C@@H](NC1=O)C(C)C)NC(=O)N[C@@H](C(C)C)C(=O)O
NPA000155,CC1=C(N(C(C1=O)(C)O)CCO)CC(CC(/C=C\C=C\C(=C\C=C\C(C)C(C(C)CCC2=CC=CC=C2)O)\C)O)O
NPA000170,CCC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)N(C(C(=O)OC(C(=O)NC(C(=O)N3CCCC3C(=O)NCC(=O)N(C(C(=O)N(C(C(=O)N1)CCC(=O)O)C)C(C)C)C)CC4=CC=CC=C4)C(C)CC)CCC(=O)O)C)C(C)C
NPA000171,CC1C[C@@]23[C@@](O2)(C(=O)C=C(C3(O1)O)OC)C
NPA000173,CCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)CC(=O)O)C(C)CC)C(C)CC)CO)CC(C)C)CO)CC(C)C)CC(C)C)C(C)O)CC(=O)O)CC(C)C
NPA000174,CC[C@H](C)[C@@H](C(=O)NC(C)(C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)NC(C)(C)C(=O)N1CCC[C@H]1CO)NC(=O)C(C)(C)NC(=O)[C@H](C(C)C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C
NPA000180,CCCCCCCCC[C@@H](CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H]1C(OC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC1=O)C(C)C)CC(C)C)CO)CC(C)C)CO)C(C)CC)C)O
NPA000184,CC[C@@H]1[C@@H](C(=O)O[C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N[C@H](C2=NC(=CS2)C(=O)N1)C)CC3=CC=CC=C3)C)C(C)C)C)C)C
NPA000203,CC[C@H](C)[C@@H](/C(=C/C(C)(C1=C(C(=C(C(=O)O1)C)O)CO)O)/C)O
